dataset,build_mean_full,build_std_full,estimation_mean_full,estimation_std_full,build_mean_uniq,build_std_uniq,estimation_mean_uniq,estimation_std_uniq
ds1,58.0983,0.4947,1.7165,0.0410,0.5792,0.0751,1.8059,0.0165
ds3,80.0125,1.0662,0.3794,0.0324,0.1876,0.0323,0.4388,0.0015
ds4,93.2648,1.8416,1.8112,0.0326,1.2889,0.1521,1.8595,0.0284
ds5,151.0143,0.7721,4.9005,0.1015,62.1144,0.2895,5.8458,1.3006
ds6,137.6272,1.4104,2.6404,0.1237,40.0530,3.6433,3.0782,0.9173
ds7,141.0602,0.7245,0.6659,0.0331,1.7247,0.0309,0.7243,0.0164
ds8,153.1013,3.1674,1.0402,0.0083,6.8085,0.0947,1.1170,0.0415
