dataset,build_time,estimation_time
ds6.bench.timing,135.80149459838867,2.5198400020599365
ds6.bench.timing,139.45580458641052,2.66768741607666
ds6.bench.timing,136.68909120559692,2.586945056915283
ds6.bench.timing,135.3359785079956,2.630333185195923
ds6.bench.timing,137.36405611038208,2.6222951412200928
ds6.bench.timing,139.3619031906128,2.7066657543182373
ds6.bench.timing,137.2496781349182,2.580676555633545
ds6.bench.timing,138.40734028816223,2.491201162338257
ds6.bench.timing,138.72242546081543,2.6608920097351074
ds6.bench.timing,137.8846824169159,2.9378318786621094
