dataset,build_time,estimation_time
ds7.bench.timing,142.51791644096375,0.7001252174377441
ds7.bench.timing,141.36901807785034,0.6388628482818604
ds7.bench.timing,140.1641640663147,0.6422402858734131
ds7.bench.timing,141.19333863258362,0.6819398403167725
ds7.bench.timing,141.82675957679749,0.6330654621124268
ds7.bench.timing,141.11747980117798,0.6583619117736816
ds7.bench.timing,140.96456623077393,0.7143957614898682
ds7.bench.timing,140.2634608745575,0.6301586627960205
ds7.bench.timing,140.51753425598145,0.6485378742218018
ds7.bench.timing,140.66793751716614,0.7113339900970459
