dataset,build_time,estimation_time
ds5.bench.timing.uniq,77.44469213485718,5.501134872436523
ds5.bench.timing.uniq,79.74663734436035,5.429807186126709
ds5.bench.timing.uniq,78.0688886642456,5.398313522338867
ds5.bench.timing.uniq,77.36743950843811,8.582542419433594
ds5.bench.timing.uniq,78.46668481826782,5.460021495819092
ds5.bench.timing.uniq,76.57422924041748,5.454795598983765
ds5.bench.timing.uniq,76.82174873352051,5.3897929191589355
ds5.bench.timing.uniq,76.59682011604309,5.379921197891235
ds5.bench.timing.uniq,76.33992576599121,7.991342544555664
ds5.bench.timing.uniq,76.01793813705444,8.012374877929688
