dataset,build_time,estimation_time
ds8.bench.timing.uniq,7.101517200469971,1.0848255157470703
ds8.bench.timing.uniq,6.902091026306152,1.1561102867126465
ds8.bench.timing.uniq,7.049520969390869,1.1761431694030762
ds8.bench.timing.uniq,7.005833387374878,1.1686787605285645
ds8.bench.timing.uniq,7.0590128898620605,1.191404104232788
ds8.bench.timing.uniq,7.008410215377808,1.1483545303344727
ds8.bench.timing.uniq,7.002153158187866,1.165445327758789
ds8.bench.timing.uniq,6.987783908843994,1.1714918613433838
ds8.bench.timing.uniq,7.033265829086304,1.1576030254364014
ds8.bench.timing.uniq,7.009032726287842,1.109889268875122
