dataset,build_time,estimation_time
ds5.bench.timing,185.64337873458862,5.764992952346802
ds5.bench.timing,187.8298237323761,5.42498517036438
ds5.bench.timing,184.8823013305664,7.8223748207092285
ds5.bench.timing,184.70189309120178,7.690688610076904
ds5.bench.timing,186.50360321998596,5.671290159225464
ds5.bench.timing,188.8447790145874,5.335918426513672
ds5.bench.timing,188.27251505851746,5.420458078384399
ds5.bench.timing,188.00098180770874,5.405235052108765
ds5.bench.timing,194.45018601417542,5.331547975540161
ds5.bench.timing,190.15963649749756,5.592665910720825
