dataset,build_time,estimation_time
ds8.bench.timing,151.45375514030457,1.0413954257965088
ds8.bench.timing,151.1457543373108,1.0393524169921875
ds8.bench.timing,154.4926471710205,1.057654619216919
ds8.bench.timing,153.13711667060852,1.0264794826507568
ds8.bench.timing,152.72357749938965,1.0356264114379883
ds8.bench.timing,151.47569680213928,1.0363247394561768
ds8.bench.timing,151.69451189041138,1.0455498695373535
ds8.bench.timing,161.6278305053711,1.0375936031341553
ds8.bench.timing,151.51765322685242,1.035766363143921
ds8.bench.timing,151.7444133758545,1.0462934970855713
