dataset,build_time,estimation_time
ds3.bench.timing.uniq,0.19112777709960938,0.6601481437683105
ds3.bench.timing.uniq,0.20408177375793457,0.506913423538208
ds3.bench.timing.uniq,0.21531057357788086,0.5311858654022217
ds3.bench.timing.uniq,0.23187732696533203,0.5395731925964355
ds3.bench.timing.uniq,0.19948101043701172,0.515902042388916
ds3.bench.timing.uniq,0.18209505081176758,0.5193648338317871
ds3.bench.timing.uniq,0.19064974784851074,0.5076613426208496
ds3.bench.timing.uniq,0.19936919212341309,0.5196728706359863
ds3.bench.timing.uniq,0.19472789764404297,0.5191304683685303
ds3.bench.timing.uniq,0.22230219841003418,0.531623363494873
