dataset,build_time,estimation_time
ds4.bench.timing.uniq,1.6859536170959473,1.8538234233856201
ds4.bench.timing.uniq,1.314471960067749,1.90427565574646
ds4.bench.timing.uniq,1.297541618347168,1.8477237224578857
ds4.bench.timing.uniq,1.3146238327026367,1.8490023612976074
ds4.bench.timing.uniq,1.1748862266540527,1.8780462741851807
ds4.bench.timing.uniq,1.1765649318695068,1.9015285968780518
ds4.bench.timing.uniq,1.207033634185791,1.8081645965576172
ds4.bench.timing.uniq,1.1784403324127197,1.8553426265716553
ds4.bench.timing.uniq,1.3138935565948486,1.848330020904541
ds4.bench.timing.uniq,1.2255222797393799,1.8490238189697266
